S. No.,task_1
1,NOT
2,HOF
3,NOT
4,HOF
5,HOF
6,NOT
7,HOF
8,HOF
9,NOT
10,HOF
11,NOT
12,NOT
13,HOF
14,HOF
15,HOF
16,HOF
17,HOF
18,HOF
19,HOF
20,NOT
21,NOT
22,HOF
23,HOF
24,NOT
25,NOT
26,HOF
27,NOT
28,HOF
29,NOT
30,NOT
31,NOT
32,HOF
33,NOT
34,HOF
35,HOF
36,HOF
37,NOT
38,NOT
39,NOT
40,HOF
41,HOF
42,HOF
43,HOF
44,HOF
45,HOF
46,HOF
47,HOF
48,HOF
49,NOT
50,HOF
51,HOF
52,NOT
53,NOT
54,HOF
55,NOT
56,NOT
57,HOF
58,HOF
59,HOF
60,NOT
61,NOT
62,NOT
63,HOF
64,HOF
65,NOT
66,HOF
67,NOT
68,HOF
69,HOF
70,HOF
71,NOT
72,NOT
73,NOT
74,NOT
75,HOF
76,HOF
77,HOF
78,NOT
79,NOT
80,NOT
81,HOF
82,NOT
83,HOF
84,NOT
85,NOT
86,HOF
87,HOF
88,HOF
89,NOT
90,HOF
91,HOF
92,HOF
93,HOF
94,HOF
95,HOF
96,HOF
97,HOF
98,HOF
99,HOF
100,NOT
101,HOF
102,NOT
103,HOF
104,HOF
105,NOT
106,NOT
107,NOT
108,NOT
109,NOT
110,NOT
111,HOF
112,HOF
113,HOF
114,HOF
115,NOT
116,NOT
117,NOT
118,NOT
119,HOF
120,NOT
121,HOF
122,HOF
123,HOF
124,HOF
125,HOF
126,HOF
127,NOT
128,HOF
129,NOT
130,NOT
131,HOF
132,HOF
133,NOT
134,HOF
135,HOF
136,HOF
137,HOF
138,NOT
139,HOF
140,HOF
141,HOF
142,HOF
143,NOT
144,HOF
145,NOT
146,HOF
147,NOT
148,NOT
149,NOT
150,HOF
151,HOF
152,HOF
153,HOF
154,NOT
155,NOT
156,NOT
157,NOT
158,NOT
159,HOF
160,NOT
161,NOT
162,NOT
163,HOF
164,HOF
165,HOF
166,NOT
167,NOT
168,HOF
169,NOT
170,HOF
171,NOT
172,NOT
173,HOF
174,NOT
175,NOT
176,HOF
177,NOT
178,HOF
179,HOF
180,HOF
181,HOF
182,NOT
183,HOF
184,HOF
185,HOF
186,NOT
187,NOT
188,NOT
189,HOF
190,HOF
191,HOF
192,NOT
193,NOT
194,NOT
195,NOT
196,HOF
197,HOF
198,NOT
199,HOF
200,HOF
201,NOT
202,NOT
203,HOF
204,NOT
205,NOT
206,NOT
207,HOF
208,NOT
209,HOF
210,HOF
211,HOF
212,NOT
213,HOF
214,HOF
215,HOF
216,NOT
217,HOF
218,NOT
219,HOF
220,HOF
221,HOF
222,HOF
223,HOF
224,NOT
225,HOF
226,NOT
227,NOT
228,NOT
229,NOT
230,NOT
231,HOF
232,HOF
233,HOF
234,HOF
235,HOF
236,HOF
237,HOF
238,HOF
239,NOT
240,HOF
241,NOT
242,NOT
243,HOF
244,HOF
245,NOT
246,HOF
247,HOF
248,NOT
249,NOT
250,HOF
251,NOT
252,HOF
