S. No.,task_1
1,HOF
2,HOF
3,NOT
4,NOT
5,NOT
6,HOF
7,NOT
8,HOF
9,NOT
10,NOT
11,NOT
12,NOT
13,HOF
14,NOT
15,NOT
16,HOF
17,HOF
18,NOT
19,NOT
20,HOF
21,NOT
22,NOT
23,NOT
24,HOF
25,HOF
26,HOF
27,NOT
28,HOF
29,HOF
30,NOT
31,NOT
32,HOF
33,NOT
34,NOT
35,NOT
36,NOT
37,HOF
38,NOT
39,HOF
40,NOT
41,NOT
42,HOF
43,NOT
44,HOF
45,NOT
46,NOT
47,NOT
48,NOT
49,NOT
50,NOT
51,NOT
52,NOT
53,NOT
54,HOF
55,NOT
56,HOF
57,NOT
58,NOT
59,NOT
60,HOF
61,HOF
62,HOF
63,NOT
64,NOT
65,HOF
66,HOF
67,HOF
68,HOF
69,HOF
70,NOT
71,NOT
72,HOF
73,HOF
74,NOT
75,NOT
76,HOF
77,NOT
78,NOT
79,NOT
80,HOF
81,HOF
82,HOF
83,HOF
84,HOF
85,NOT
86,HOF
87,HOF
88,NOT
89,HOF
90,NOT
91,HOF
92,NOT
93,NOT
94,NOT
95,NOT
96,NOT
97,NOT
98,NOT
99,NOT
100,HOF
101,HOF
102,HOF
103,NOT
104,NOT
105,NOT
106,NOT
107,NOT
108,NOT
109,NOT
110,NOT
111,HOF
112,NOT
113,HOF
114,HOF
115,HOF
116,HOF
117,NOT
118,NOT
119,HOF
120,HOF
121,NOT
122,HOF
123,HOF
124,NOT
125,NOT
126,HOF
127,HOF
128,NOT
129,HOF
130,HOF
131,HOF
132,NOT
133,NOT
134,NOT
135,HOF
136,NOT
137,NOT
138,NOT
139,HOF
140,HOF
141,HOF
142,NOT
143,NOT
144,NOT
145,HOF
146,HOF
147,NOT
148,NOT
149,HOF
150,HOF
151,NOT
152,NOT
153,NOT
154,HOF
155,NOT
156,HOF
157,HOF
158,HOF
159,HOF
160,HOF
161,HOF
162,NOT
163,NOT
164,NOT
165,NOT
166,NOT
167,HOF
168,HOF
169,NOT
170,HOF
171,NOT
172,NOT
173,HOF
174,HOF
175,HOF
176,HOF
177,NOT
178,NOT
179,HOF
180,NOT
181,NOT
182,NOT
183,HOF
184,HOF
185,HOF
186,NOT
187,NOT
188,NOT
189,NOT
190,HOF
191,NOT
192,HOF
193,HOF
194,HOF
195,HOF
196,NOT
197,NOT
198,HOF
199,NOT
200,NOT
201,HOF
202,HOF
203,NOT
204,HOF
205,NOT
206,HOF
207,HOF
208,NOT
209,HOF
210,HOF
211,NOT
212,NOT
213,HOF
214,HOF
215,HOF
216,HOF
217,NOT
218,NOT
219,NOT
220,HOF
221,NOT
222,HOF
223,HOF
224,NOT
225,HOF
226,HOF
227,NOT
228,HOF
229,HOF
230,HOF
231,NOT
232,NOT
233,NOT
234,NOT
235,HOF
236,HOF
237,HOF
238,NOT
239,HOF
240,HOF
241,NOT
242,NOT
243,NOT
244,NOT
245,HOF
246,HOF
247,NOT
248,NOT
249,NOT
250,NOT
251,NOT
252,NOT
253,HOF
254,NOT
255,NOT
256,NOT
257,HOF
258,HOF
259,NOT
260,NOT
261,NOT
262,HOF
263,NOT
264,NOT
265,NOT
266,NOT
267,NOT
268,NOT
269,NOT
270,NOT
271,HOF
272,NOT
273,NOT
274,NOT
275,HOF
276,HOF
277,HOF
278,HOF
279,NOT
280,NOT
281,NOT
282,HOF
283,NOT
284,NOT
285,NOT
286,NOT
287,HOF
288,NOT
289,HOF
290,NOT
291,NOT
292,NOT
293,NOT
294,NOT
295,NOT
296,NOT
297,NOT
298,NOT
299,NOT
300,NOT
301,NOT
302,NOT
303,NOT
304,NOT
305,NOT
306,NOT
307,HOF
308,NOT
309,NOT
310,NOT
311,NOT
312,NOT
313,NOT
314,NOT
315,NOT
316,NOT
317,NOT
318,HOF
319,NOT
320,HOF
